Question Number,Module number,Module name,Section,2024 Question,Integrated,Environmental issues covered,Sector,Public authorities,Supply chain only,Climate change,2023 Climate change question number,Forests change,2023 Forests question number,Water change,2023 Water Security question number,Integration,Alignment with IFRS S2,Alignment with other standard or framework,General improvement,Notes for changes,IFRS-S2,TNFD,ESRS,AFi
1.1,1,Introduction,Introduction ,In which language are you submitting your response? ,Yes,All,All sectors,Yes,No,No change,SUB0.1,No change,SUB0.1,No change,SUB0.1,No,No,No,No,No change question,No,No,No,No
1.2,1,Introduction,Introduction ,Select the currency used for all financial information disclosed throughout your response.,Yes,All,All sectors,Yes,No,Modified question,C0.4,Modified question,F0.3,Modified question,W0.4,No,No,No,Yes,The question has been integrated to avoid duplication of reporting.,No,No,No,No
1.3,1,Introduction,Introduction ,Provide an overview and introduction to your organization.,Yes,All,All sectors,Yes,No,Modified question,C0.1,Modified question,F0.1,Modified question,W0.1,No,No,No,Yes,"Additional columns so organizations can indicate the organization type. For example, publicly traded or privately owned. ",No,No,No,No
1.4,1,Introduction,Introduction ,"State the end date of the year for which you are reporting data. For emissions data, indicate whether you will be providing emissions data for past reporting years.",Yes,All,All sectors,Yes,No,Modified question,C0.2,Modified question,F0.2,Modified question,W0.2,Yes,No,No,Yes,'Start date' column removed to reduce reporting burden.,No,No,No,No
1.5,1,Introduction,Introduction ,Provide details on your reporting boundary.,Yes,All,All sectors,Yes,No,New question,n/a,New question,n/a,Modified question,n/a,No,Yes,Yes,No,"Organizations can indicate whether they are reporting for the same group as they report financial statements, aligned with environmental reporting standards recommendations. If not, they provide details of why not.",No,No,Yes,No
1.6,1,Introduction,Introduction ,"Does your organization have an ISIN code or another unique identifier (e.g., Ticker, CUSIP, etc.)?",Yes,All,All sectors,Yes,No,Modified question,C0.8,Modified question,F0.8,Modified question,W0.7,Yes,No,No,No,Only minor changes with the addition/adjustment of dropdown options to improve data quality and ensure clarity of datapoints.,No,No,No,No
1.7,1,Introduction,Introduction ,Select the countries/areas in which you operate. ,Yes,All,All sectors,Yes,No,Modified guidance,C0.3,Modified guidance,F0.6,Modified guidance,W0.3,No,No,No,Yes,Guidance has been updated to clarify that ‘operate’ refers to the countries/areas where the entities in the organization’s reporting boundary are based and/or conduct business. ,No,No,No,Yes
1.8,1,Introduction,Introduction ,Are you able to provide geolocation data for your facilities?,No,Water,All (except FS),No,Yes,n/a,n/a,n/a,n/a,No change,SW1.2,No,No,No,No,No change question,No,No,No,No
1.8.1,1,Introduction,Introduction ,Please provide all available geolocation data for your facilities.,No,Water,All (except FS),No,Yes,n/a,n/a,n/a,n/a,No change,SW1.2a,No,No,No,No,No change question,No,No,No,No
1.9,1,Introduction,Introduction ,What was the size of your organization based on total assets value at the end of the reporting period?,Yes,All,FS,No,No,New question,n/a,New question,n/a,New question,n/a,No,No,No,Yes,New question was added to allow financial institutions to report the value of the total assets.,No,No,No,No
